ID	gsm2480251	gsm2480252	gsm2480253	gsm2480254	gsm2480255	gsm2480256	gsm2480257	gsm2480258	gsm2480259	gsm2480260	gsm2480261	gsm2480262	gsm2480263	gsm2480264	gsm2480265	gsm2480266	gsm2480267	gsm2480268	gsm2480269	gsm2480270	gsm2480271	gsm2480272	gsm2480273	gsm2480274	gsm2480275	gsm2480276	gsm2480277	gsm2480278	gsm2480279	gsm2480280	gsm2480281	gsm2480282	gsm2480283	gsm2480284	gsm2480285	gsm2480286	gsm2480287	gsm2480288	gsm2480289	gsm2480290	gsm2480291	gsm2480292	gsm2480293	gsm2480294	gsm2480295	gsm2480296	gsm2480297	gsm2480298	gsm2480299	gsm2480300	gsm2480301	gsm2480302	gsm2480303	gsm2480304	gsm2480305	gsm2480306	gsm2480307	gsm2480308	gsm2480309	gsm2480310	gsm2480311	gsm2480312	gsm2480313	gsm2480314	gsm2480315	gsm2480316	gsm2480317	gsm2480318	gsm2480319	gsm2480320	gsm2480321	gsm2480322	gsm2480323	gsm2480324	gsm2480325	gsm2480326	gsm2480327	gsm2480328	gsm2480329	gsm2480330	gsm2480331	gsm2480332	gsm2480333	gsm2480334	gsm2480335	gsm2480336	gsm2480337	gsm2480338	gsm2480339	gsm2480340	gsm2480341	gsm2480342	gsm2480343	gsm2480344	gsm2480345	gsm2480346	gsm2480347
class	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CASE2	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE	CASE
a1cf	4.394279957	4.188350201	4.378520012	4.256509781	4.481190205	4.263160229	4.276529789	4.32035017	4.577270031	4.322599888	4.141270161	4.349440098	4.375699997	4.327280045	4.08039999	4.486499786	4.202519894	4.369339943	4.301919937	4.447909832	4.211850166	4.43584013	4.285419941	4.016459942	4.21626997	4.195119858	4.217480183	4.393819809	4.525589943	4.347469807	4.3083601	4.327390194	4.224150181	4.281539917	4.110109806	4.210050106	4.250710011	4.252470016	4.395420074	4.430150032	4.346119881	4.20472002	4.608530045	4.476560116	4.106699944	4.3540802	4.29734993	4.280419827	4.312600136	4.327809811	4.359340191	4.384359837	4.434460163	4.330249786	4.461900234	4.412260056	4.54034996	4.374680042	4.445849895	4.264070034	4.355400085	4.205619812	4.299210072	4.314939976	4.395880222	4.222980022	4.261290073	4.407299995	4.231569767	4.308939934	4.401390076	4.212100029	4.317689896	4.434100151	4.206389904	4.422959805	4.43404007	4.345469952	4.343639851	4.494870186	4.312170029	4.444059849	4.241439819	4.602779865	4.338029861	4.414319992	4.335999966	4.111169815	4.204440117	4.25177002	4.386030197	4.296070099	4.263669968	4.22465992	4.26391983	4.25924015	4.371479988
a2m	4.942649841	5.218060017	4.713180065	4.718669891	4.742579937	4.471350193	4.447319984	4.815710068	4.752789974	5.151120186	4.615449905	4.952899933	4.815710068	4.532820225	4.843369961	5.03057003	5.524889946	4.700950146	4.860569954	4.254059792	4.396249771	4.296909809	4.646009922	4.192619801	4.366020203	5.400979996	4.948200226	4.387360096	5.687210083	4.584330082	5.64399004	4.815710068	4.74905014	5.177400112	5.389550209	4.548799992	4.796120167	4.377810001	4.938570023	4.715789795	5.185959816	4.947740078	4.980000019	5.008719921	5.132900238	5.233099937	4.646339893	4.282430172	4.571499825	4.831850052	4.689479828	5.023789883	4.603700161	5.008920193	4.610579967	5.081500053	4.744719982	5.152339935	5.215390205	4.888410091	4.76184988	4.697949886	5.273880005	4.431540012	5.386809826	5.26940012	4.91738987	4.445030212	4.852670193	5.507120132	4.813600063	4.560470104	4.071450233	4.458990097	5.057670116	5.132180214	5.819320202	4.304500103	4.756899834	5.211269855	5.837959766	4.573699951	5.634640217	5.263740063	4.614900112	4.73499012	4.594979763	6.02203989	5.286019802	4.513510227	4.376880169	3.995009899	4.888410091	4.946479797	4.567379951	4.412509918	4.942659855
a4galt	6.930689812	6.931499958	7.101150036	6.717959881	6.941269875	6.872729778	7.063660145	7.578859806	7.857349873	6.754479885	6.872729778	6.823040009	7.020800114	7.084290028	7.121739864	6.990980148	6.908699989	6.482250214	6.725769997	6.859419823	6.679419994	6.853720188	6.657800198	6.584440231	6.796609879	6.819739819	6.796679974	6.78813982	7.019080162	6.684400082	6.915909767	6.900380135	6.895279884	6.767000198	6.628940105	6.630809784	6.831960201	6.810400009	7.059599876	7.079060078	6.890610218	6.562119961	7.039050102	6.88891983	6.668059826	6.55588007	6.714519978	7.1572299	6.850699902	6.997879982	7.080090046	6.833159924	6.991240025	6.690340042	6.690859795	7.199039936	7.125649929	6.806459904	6.915689945	6.641280174	6.956749916	6.778940201	6.618669987	6.891679764	7.058370113	6.912630081	7.029019833	7.132679939	6.892469883	6.834179878	6.780920029	6.912220001	7.173180103	6.745160103	6.992869854	6.729670048	7.144340038	6.818590164	6.891220093	7.19701004	6.944429874	7.058720112	6.845459938	7.142680168	6.944769859	6.905809879	6.814249992	6.762869835	6.769659996	6.872550011	6.777390003	6.736889839	6.688109875	6.480909824	6.488110065	6.888750076	6.654469967
a4gnt	4.345910072	4.61578989	4.771860123	4.553689957	4.539599895	4.461130142	4.363210201	4.436759949	4.701879978	4.557250023	4.597439766	4.515470028	4.535639763	4.747990131	4.586949825	4.478129864	4.482289791	4.720260143	4.696410179	4.621930122	4.45114994	4.83509016	4.96408987	4.51225996	4.580049992	4.584479809	4.711659908	4.642859936	4.556729794	4.474919796	4.63988018	4.449200153	4.528679848	4.643229961	4.432119846	4.643869877	4.543560028	4.500999928	4.449019909	4.574110031	4.354909897	4.564919949	4.673980236	4.471479893	4.507279873	4.55163002	4.515369892	4.718309879	4.64109993	4.678090096	4.59882021	4.44656992	4.602859974	4.359280109	4.589479923	4.482769966	4.692470074	4.400670052	4.316539764	4.481060028	4.730500221	4.612450123	4.491149902	4.525290012	4.573379993	4.455460072	4.655169964	4.894229889	4.647329807	4.621319771	4.584720135	4.688399792	4.591070175	4.606299877	4.530310154	4.529620171	4.739630222	4.492450237	4.544650078	4.616899967	4.437349796	4.411509991	4.508180141	4.219900131	4.586150169	4.771689892	4.565619946	4.571559906	4.580049992	4.717380047	4.585269928	4.653009892	4.856659889	4.585140228	4.930150032	4.830369949	4.530690193
aaas	8.867659569	8.862589836	8.477479935	8.264800072	8.860289574	8.847200394	8.604740143	8.618140221	8.613019943	8.490639687	8.576709747	9.164520264	8.649539948	8.343870163	8.506380081	8.939080238	8.729920387	8.683710098	9.184309959	9.049229622	9.094260216	8.865099907	8.667099953	8.889519691	8.696279526	9.165699959	8.882599831	8.629309654	8.649909973	8.272520065	8.589170456	8.818909645	8.961230278	8.369210243	8.929389954	9.259969711	8.728699684	9.144060135	8.761980057	8.360619545	8.778980255	8.785340309	8.623789787	8.905870438	8.24050045	8.621919632	8.663860321	8.977359772	8.625379562	8.663729668	8.473010063	8.501729965	8.543970108	8.917849541	8.679840088	8.830949783	8.714710236	8.745800018	8.320659637	8.638759613	9.084759712	8.583629608	8.882410049	8.584799767	8.321350098	9.009619713	8.897060394	8.621170044	8.590209961	8.786029816	8.510259628	8.752309799	8.521969795	8.780610085	8.705050468	8.75014019	8.434350014	8.634050369	8.777440071	8.440660477	9.037489891	8.314720154	8.939049721	8.702320099	8.46475029	8.583479881	8.62473011	8.811900139	8.808899879	9.044150352	8.844280243	8.598950386	8.773670197	8.738759995	8.493000031	8.71805954	9.388910294
aacs	7.964009762	8.086389542	7.386370182	7.522699833	7.811299801	7.985680103	7.685060024	7.962989807	7.425980091	8.117019653	7.937119961	8.101469994	7.649089813	7.984940052	8.312509537	8.141079903	7.704339981	7.789820194	7.804729939	8.275219917	8.501939774	8.267459869	8.211620331	8.178790092	8.048210144	8.177399635	8.16506958	8.039520264	7.927929878	7.671299934	8.189089775	8.698619843	7.911839962	7.814099789	7.749750137	8.042369843	8.202589989	8.174630165	7.991799831	7.445879936	7.994800091	8.05259037	8.024490356	8.186289787	7.999000072	7.975959778	7.903439999	7.177969933	7.724150181	8.325670242	7.760739803	7.954160213	7.775559902	8.037690163	8.020580292	8.065179825	7.850309849	7.958230019	7.70291996	7.886650085	7.638309956	7.72976017	7.963079929	8.152830124	8.248660088	8.069120407	8.013580322	7.710740089	8.035280228	7.906799793	7.845479965	8.259460449	7.77259016	7.82460022	8.067990303	7.828660011	7.872940063	8.060919762	7.572800159	7.932909966	8.08701992	8.22262001	8.069040298	8.047129631	8.041049957	7.842619896	7.787409782	8.062520027	8.024889946	8.049119949	8.017840385	8.780409813	7.44133997	7.977009773	7.914509773	7.891429901	8.371159554
aadac	3.762310028	3.679850101	3.918519974	3.878269911	3.918519974	3.857009888	3.841209888	3.703439951	3.989429951	4.005420208	3.868160009	3.934489965	3.705709934	3.918519974	4.104050159	4.105130196	3.775899887	3.796750069	3.918819904	4.105080128	3.938169956	4.140999794	3.986730099	3.875659943	4.2322402	3.937099934	4.052229881	3.783839941	3.885829926	3.857899904	3.962110043	3.838779926	3.894750118	4.000430107	3.896029949	3.968889952	4.064909935	4.188779831	3.959830046	4.016049862	3.83762002	3.899369955	3.935679913	3.988349915	3.862910032	4.088590145	3.978879929	3.992340088	4.081540108	4.125609875	3.82772994	3.879829884	4.186349869	4.003089905	3.800679922	4.368189812	4.107309818	3.652590036	3.972779989	3.688829899	3.93295002	3.770430088	3.959280014	3.808870077	3.78256011	3.843739986	4.214009762	3.729799986	3.893429995	3.869369984	3.682689905	3.750780106	3.978539944	3.909399986	3.678790092	3.897569895	3.893470049	3.838419914	4.113900185	3.946810007	4.019599915	4.096980095	3.900249958	3.790240049	4.262420177	4.091110229	3.942090034	3.818109989	3.839459896	4.00345993	3.916429996	3.825419903	4.086840153	4.256440163	3.755589962	3.932749987	3.998300076
