ID	gsm2302495	gsm2302496	gsm2302497	gsm2302498	gsm2302499	gsm2302500	gsm2302501	gsm2302502	gsm2302503	gsm2302504	gsm2302505	gsm2302506	gsm2302507	gsm2302508	gsm2302510	gsm2302511	gsm2302512	gsm2302513	gsm2302514	gsm2302516	gsm2302517	gsm2302518	gsm2302519	gsm2302520	gsm2302521	gsm2302522	gsm2302523	gsm2302524	gsm2302526	gsm2302527	gsm2302528	gsm2302530	gsm2302531	gsm2302532	gsm2302533	gsm2302534	gsm2302535	gsm2302536	gsm2302537	gsm2302538	gsm2302539	gsm2302541	gsm2302542	gsm2302544	gsm2302545	gsm2302546	gsm2302547	gsm2302548	gsm2302549	gsm2302551	gsm2302552	gsm2302553	gsm2302554	gsm2302555	gsm2302556	gsm2302557	gsm2302558	gsm2302559	gsm2302560	gsm2302561	gsm2302562	gsm2302564	gsm2302565	gsm2302566	gsm2302567	gsm2302568	gsm2302569	gsm2302570	gsm2302571	gsm2302572	gsm2302573	gsm2302574	gsm2302575	gsm2302576	gsm2302577	gsm2302578	gsm2302579	gsm2302580	gsm2302581	gsm2302582	gsm2302583	gsm2302584	gsm2302585	gsm2302587	gsm2302588	gsm2302589	gsm2302590	gsm2302591	gsm2302592	gsm2302595	gsm2302596	gsm2302597	gsm2302598	gsm2302599	gsm2302600	gsm2302601	gsm2302602	gsm2302604	gsm2302605	gsm2302606	gsm2302607	gsm2302609	gsm2302610	gsm2302612	gsm2302613	gsm2302616	gsm2302617	gsm2302618	gsm2302619	gsm2302620	gsm2302621	gsm2302622	gsm2302623	gsm2302624	gsm2302625	gsm2302626	gsm2302627	gsm2302628	gsm2302629	gsm2302630	gsm2302631	gsm2302632	gsm2302633	gsm2302634	gsm2302636	gsm2302637	gsm2302638	gsm2302639	gsm2302640	gsm2302642	gsm2302644	gsm2302645	gsm2302647	gsm2302648	gsm2302649	gsm2302650	gsm2302651	gsm2302652	gsm2302653	gsm2302654	gsm2302655	gsm2302656	gsm2302657	gsm2302659	gsm2302660	gsm2302661	gsm2302662	gsm2302664	gsm2302665	gsm2302666	gsm2302667	gsm2302668	gsm2302669	gsm2302670	gsm2302671	gsm2302672	gsm2302673	gsm2302674	gsm2302675	gsm2302676	gsm2302677	gsm2302678	gsm2302679	gsm2302680	gsm2302681	gsm2302682	gsm2302683	gsm2302684	gsm2302685	gsm2302686	gsm2302687	gsm2302688	gsm2302689	gsm2302690	gsm2302691	gsm2302692	gsm2302693	gsm2302694	gsm2302696	gsm2302697	gsm2302698	gsm2302699	gsm2302700	gsm2302702	gsm2302703	gsm2302704	gsm2302705	gsm2302706	gsm2302707	gsm2302708	gsm2302709	gsm2302710	gsm2302711	gsm2302712	gsm2302713	gsm2302714	gsm2302715	gsm2302717	gsm2302718	gsm2302719	gsm2302720	gsm2302721	gsm2302722	gsm2302723	gsm2302724	gsm2302725	gsm2302726	gsm2302727	gsm2302728	gsm2302729	gsm2302730	gsm2302731	gsm2302732	gsm2302733	gsm2302734	gsm2302736	gsm2302737	gsm2302739	gsm2302740	gsm2302741	gsm2302743
class	CASE2	CASE	CONTROL	CASE	CONTROL	CONTROL	CONTROL	CASE2	CASE2	CASE2	CONTROL	CONTROL	CASE	CONTROL	CASE	CASE	CASE2	CASE	CONTROL	CASE	CASE2	CASE	CASE	CASE	CASE2	CASE2	CASE	CASE2	CASE2	CONTROL	CONTROL	CASE	CASE	CASE	CASE2	CASE2	CASE	CASE	CASE	CASE2	CASE2	CASE2	CASE	CASE	CASE	CONTROL	CONTROL	CONTROL	CASE	CASE2	CASE	CASE	CASE2	CASE	CASE2	CASE	CASE	CASE2	CONTROL	CASE2	CASE2	CASE	CONTROL	CASE	CASE	CASE	CONTROL	CASE2	CASE	CASE	CONTROL	CASE	CASE	CASE2	CASE2	CONTROL	CONTROL	CASE	CASE	CASE	CASE2	CASE2	CASE	CASE2	CASE	CASE2	CASE2	CASE2	CASE	CASE2	CONTROL	CASE2	CASE	CONTROL	CASE2	CASE	CASE	CASE2	CASE2	CASE2	CASE	CONTROL	CASE	CASE2	CONTROL	CASE	CONTROL	CASE2	CONTROL	CASE	CASE2	CASE	CASE	CASE2	CONTROL	CASE	CASE	CONTROL	CASE	CASE2	CASE	CASE	CASE	CASE2	CASE2	CASE2	CASE2	CASE	CASE	CASE2	CASE	CONTROL	CASE	CASE	CASE2	CASE	CASE	CASE	CASE	CASE2	CASE	CASE2	CONTROL	CASE2	CONTROL	CASE	CASE2	CASE	CASE	CASE	CASE2	CONTROL	CASE	CASE2	CASE2	CASE	CONTROL	CASE	CASE2	CASE2	CASE2	CASE	CONTROL	CASE2	CASE	CASE2	CONTROL	CASE2	CASE2	CASE	CASE	CASE	CONTROL	CASE2	CONTROL	CASE	CONTROL	CASE	CASE2	CONTROL	CASE	CONTROL	CASE2	CONTROL	CASE	CONTROL	CASE2	CASE2	CASE	CONTROL	CASE	CASE2	CONTROL	CASE2	CASE2	CASE2	CASE	CASE	CASE2	CASE2	CASE	CASE2	CONTROL	CASE	CASE2	CASE	CONTROL	CONTROL	CASE	CASE	CASE	CASE2	CONTROL	CASE2	CASE	CASE	CASE2	CASE2	CONTROL	CASE	CASE2
a1cf	6.87308979	6.901380062	6.878499985	6.894100189	6.88203001	6.917809963	6.815139771	6.848680019	6.910280228	6.859479904	6.89068985	6.90255022	6.823959827	6.874259949	6.859910011	6.827139854	6.831319809	6.858520031	6.897140026	6.855110168	6.855690002	6.838419914	6.866209984	6.853330135	6.899250031	6.77575016	6.891379833	6.801499844	6.813310146	6.854869843	6.838140011	6.872920036	6.840040207	6.902229786	6.833740234	6.866769791	6.864910126	6.865660191	6.789740086	6.858850002	6.895699978	6.835690022	6.859389782	6.873600006	6.829929829	6.875659943	6.823460102	6.829440117	6.83164978	6.792310238	6.840889931	6.794529915	6.824629784	7.054880142	6.922749996	6.864679813	6.765590191	6.853199959	6.876130104	6.856900215	6.813720226	6.794730186	6.912809849	6.898149967	6.848460197	6.916719913	6.803639889	6.882649899	6.835869789	6.827799797	6.79324007	6.869319916	6.858540058	6.820129871	6.86026001	6.888259888	6.865809917	6.813469887	6.904099941	6.779910088	6.830659866	6.837669849	6.839139938	6.891039848	7.024680138	6.884520054	6.83217001	6.841829777	6.7895298	6.828479767	6.835949898	6.849909782	6.879220009	6.805799961	6.923429966	6.980150223	6.99503994	6.817840099	6.835130215	6.86575985	6.814400196	6.881859779	6.833789825	6.963069916	6.854380131	6.839680195	6.798769951	6.815609932	6.894269943	6.807640076	6.866219997	6.875619888	6.826039791	6.824969769	6.841219902	6.851809978	6.839009762	6.830460072	6.873079777	6.763669968	6.874060154	6.927589893	6.835939884	6.855360031	6.795609951	6.829480171	6.8821702	6.883900166	6.878739834	6.878099918	6.893449783	6.815269947	6.824580193	6.897250175	6.866000175	6.871210098	6.882450104	6.876319885	6.797959805	6.787419796	6.91339016	6.861859798	6.89993	6.874869823	6.875639915	6.839389801	6.8365798	6.841289997	6.839489937	6.904329777	6.826729774	6.82322979	6.872920036	6.838129997	6.834799767	6.888430119	6.841589928	6.884870052	6.796090126	6.954410076	6.86935997	6.836810112	6.880030155	6.820759773	6.88462019	6.864980221	6.823699951	6.848320007	6.798309803	6.846109867	6.890490055	6.903319836	6.88699007	6.855420113	6.838469982	6.952030182	6.878149986	6.879109859	6.938809872	6.919690132	6.869679928	6.905650139	6.860889912	6.849870205	6.856480122	6.872350216	6.97758007	6.902400017	6.900440216	6.843939781	6.867310047	6.79362011	6.878890038	6.865940094	6.842040062	6.872189999	6.872419834	6.874289989	6.922319889	6.815820217	6.904300213	6.857150078	6.795259953	6.843739986	6.792890072	6.833879948	6.83217001	6.833260059	6.817110062	6.865690231	6.839600086	6.857709885	6.801129818	6.879320145	6.835289955	6.851799965	6.833859921	6.837059975	6.825069904	6.819330215	6.793119907
a2m	6.890220165	6.805650234	6.781869888	6.767570019	6.780670166	6.777959824	6.741809845	6.776780128	6.882460117	6.767809868	6.86300993	6.771389961	6.720709801	6.77628994	6.799849987	6.816880226	6.725969791	6.788320065	6.795810223	6.795750141	6.882810116	6.791339874	6.775179863	6.779940128	6.938630104	6.794260025	6.729159832	6.91933012	6.785789967	6.715189934	6.817949772	6.757180214	6.739960194	7.023530006	6.814640045	6.808879852	6.846119881	6.801650047	6.806379795	6.799819946	6.808879852	6.816030025	6.795060158	6.739029884	6.840240002	6.822710037	6.716650009	6.755420208	6.79226017	6.814780235	7.012350082	6.756559849	6.817580223	6.89564991	6.754230022	6.791069984	6.721950054	6.825930119	6.734220028	6.815599918	6.777420044	6.685540199	6.769929886	6.83093977	6.772059917	6.778450012	6.744979858	6.710720062	6.798980236	6.755489826	6.774509907	6.825290203	6.825749874	6.818520069	6.823530197	6.885529995	6.755680084	6.752349854	6.70333004	6.770450115	6.797440052	6.758080006	6.777870178	6.742589951	6.840119839	6.936450005	6.849190235	6.670929909	6.783989906	6.88669014	6.678100109	6.858580112	6.797729969	6.826379776	6.775509834	6.807439804	6.815330029	6.71762991	6.811800003	6.745279789	6.7363801	6.755879879	6.692850113	6.699240208	6.786159992	6.771110058	6.765349865	6.777530193	6.80479002	6.823800087	6.802680016	6.785009861	6.868859768	6.758200169	6.805960178	6.785999775	6.720479965	6.75153017	6.682779789	6.80012989	6.900770187	6.796979904	6.684140205	6.749000072	6.723609924	6.764500141	6.711709976	6.762499809	6.814869881	6.845210075	6.722939968	6.759059906	6.79200983	6.748789787	6.73623991	6.78470993	6.811349869	6.768300056	6.853250027	6.715250015	6.839129925	6.781750202	6.799280167	6.719880104	6.882530212	6.841670036	6.784939766	6.743629932	6.762489796	6.751299858	6.747560024	6.759280205	6.696000099	6.801620007	6.802149773	6.845890045	6.77504015	6.770939827	6.824739933	6.866960049	6.741620064	6.745940208	6.82475996	6.727950096	6.834489822	6.759349823	6.80987978	6.809569836	6.787559986	6.819600105	6.77120018	6.749949932	6.771140099	6.834609985	6.779930115	6.771560192	6.917600155	6.744120121	6.713580132	6.786870003	6.764860153	6.700469971	6.706099987	6.728489876	6.767769814	6.79817009	6.842579842	6.705989838	6.751019955	6.731599808	6.777009964	6.778530121	6.855309963	6.802919865	6.789830208	6.819829941	6.812260151	6.807690144	6.78813982	6.87225008	6.77699995	6.762450218	6.770460129	6.829090118	6.802629948	6.729670048	6.795730114	6.744130135	6.784510136	6.760509968	6.715529919	6.854700089	6.787970066	6.857580185	6.758399963	6.761529922	6.694839954	6.94961977	6.854990005	6.793700218	6.845260143
a4galt	6.778510094	6.795380116	6.75838995	6.891170025	6.875130177	6.879509926	6.774549961	6.774549961	6.752230167	6.983240128	6.911009789	6.782159805	6.888909817	6.771930218	6.748139858	6.917439938	6.757890224	6.907730103	6.813230038	6.842520237	6.833499908	6.822770119	6.767230034	6.830760002	6.896269798	6.782189846	6.816969872	6.76913023	6.797959805	6.789659977	6.794909954	6.843540192	6.801119804	6.948249817	6.750299931	6.85848999	6.675610065	6.771850109	6.814239979	6.674220085	6.748889923	6.839149952	6.786270142	6.857210159	6.766109943	6.765649796	6.780029774	6.841179848	6.761829853	6.83739996	6.749760151	6.775629997	6.755080223	6.837190151	6.809350014	6.889359951	6.868000031	6.836050034	6.823760033	6.878890038	6.85145998	6.823860168	6.905650139	6.677929878	6.83908987	6.770589828	6.809579849	6.949999809	6.855939865	6.79403019	6.915120125	6.791480064	7.026979923	6.832489967	6.910369873	6.918320179	6.900549889	6.812590122	6.863540173	6.737909794	6.871819973	6.891660213	6.816629887	6.747260094	6.886769772	6.867320061	6.927810192	6.810120106	6.838210106	6.945909977	6.773670197	6.931749821	6.844140053	6.902599812	6.816520214	6.744209766	6.801519871	6.843629837	6.84773016	6.796770096	6.79294014	6.877779961	6.761839867	6.828209877	6.770319939	6.893970013	6.837959766	6.764070034	6.740330219	6.909309864	6.819149971	6.864890099	6.837450027	6.834499836	6.855340004	6.796269894	6.780729771	6.801819801	6.807720184	6.748819828	6.87801981	6.851709843	6.796249866	6.833950043	6.81746006	6.799729824	6.840789795	6.797150135	6.870510101	6.781859875	6.758590221	6.833260059	6.756569862	6.853610039	6.812019825	6.772759914	6.80588007	6.784490108	6.860300064	6.959360123	6.885260105	6.862619877	6.726769924	6.768290043	6.820390224	6.894070148	6.689020157	6.857480049	6.754769802	6.787740231	6.771930218	6.945179939	6.872630119	6.833320141	6.977190018	6.854030132	6.857550144	6.833590031	6.71999979	6.867899895	6.863510132	6.791910172	6.781799793	6.766489983	6.812880039	6.827390194	6.820869923	6.788459778	6.809820175	6.84428978	6.873829842	6.736090183	6.840040207	6.739659786	6.861539841	6.843770027	6.797639847	6.747350216	6.891699791	6.76748991	6.75067997	6.800360203	6.832859993	6.946080208	6.883500099	6.80302	6.721399784	6.820559978	6.813849926	6.791940212	6.849810123	6.833819866	6.818449974	6.824679852	6.75206995	6.870500088	6.747940063	6.80479002	6.854100227	6.878880024	6.770180225	6.794710159	6.787360191	6.800069809	6.835820198	6.675789833	6.902309895	6.774539948	7.229040146	6.82006979	6.734650135	6.806749821	6.898890018	6.764460087	6.729159832	6.750899792	6.78801012	6.913929939	6.813149929	6.701879978	6.827089787
a4gnt	6.936359882	6.92854023	7.128479958	7.127280235	7.05039978	6.932640076	7.145969868	6.995490074	6.984630108	7.140230179	7.007349968	7.054009914	6.959149837	6.97315979	6.964429855	6.903480053	7.072440147	7.014560223	7.182600021	7.226860046	7.07461977	6.911449909	7.278699875	7.026669979	6.941720009	7.06043005	7.141089916	6.971869946	6.950900078	7.006499767	6.96446991	7.022749901	6.99917984	7.001110077	7.147099972	7.055079937	6.931600094	7.051300049	7.039309978	6.98845005	7.020229816	7.003119946	7.027369976	7.077889919	6.99503994	6.964970112	6.955389977	7.313129902	7.063129902	7.130440235	7.231860161	7.129600048	7.112010002	7.018260002	7.078639984	7.100739956	6.994800091	7.080820084	6.834839821	6.9615798	7.086689949	6.97247982	7.19742012	7.061299801	6.860680103	6.998149872	7.057829857	7.114820004	7.020549774	7.126460075	6.992380142	7.022570133	7.108729839	7.054619789	6.816969872	7.02105999	6.94715023	6.97492981	7.034719944	6.980840206	7.128059864	6.906750202	6.958469868	6.961880207	6.911180019	6.931190014	6.882249832	7.112689972	6.947899818	6.789859772	6.912919998	6.977369785	6.912799835	7.054590225	6.811669827	6.993209839	6.913680077	6.948870182	6.925360203	6.816030025	6.957099915	7.19851017	7.063729763	6.964039803	7.025829792	7.006649971	7.059299946	7.020530224	7.031730175	7.158850193	7.035610199	6.82848978	7.045889854	7.172579765	7.117390156	7.16505003	6.851819992	6.939229965	6.860899925	7.058040142	6.965429783	7.008560181	7.222390175	7.001609802	7.006020069	7.314879894	6.975550175	7.009530067	6.880489826	6.968510151	6.971879959	7.001140118	6.923560143	6.937049866	7.077889919	7.038809776	6.947159767	6.880809784	6.840340137	6.872839928	7.022550106	6.932819843	6.928030014	6.908840179	6.7915802	6.846210003	6.868470192	7.08754015	7.000599861	7.133590221	6.979020119	7.203179836	6.988430023	7.036520004	6.982200146	6.911900043	7.073760033	6.953199863	6.953670025	6.908480167	6.975150108	6.94588995	6.936470032	6.991290092	7.234330177	6.962140083	7.069210052	6.937630177	7.221730232	6.981070042	7.005420208	6.943369865	6.986219883	7.158909798	7.029610157	6.943729877	6.978519917	7.027840137	6.960400105	6.943180084	7.055630207	6.958650112	6.912230015	6.876589775	6.891520023	7.001830101	6.889269829	6.940649986	7.04542017	7.179719925	6.951089859	6.896240234	6.734159946	6.977620125	6.932769775	7.041100025	7.030849934	7.074850082	6.885680199	7.149050236	6.970540047	7.111770153	6.827400208	6.934720039	6.944590092	6.99864006	7.058239937	7.01831007	6.982200146	7.088019848	7.010109901	7.037509918	6.972109795	7.063539982	6.994709969	6.966780186	6.895170212	7.121550083	6.925280094	7.133480072	7.019509792
aaas	7.331709862	7.242939949	7.012060165	7.101590157	6.95028019	7.054039955	7.322360039	7.141600132	7.580999851	6.932789803	7.66215992	7.413700104	7.199319839	7.28704977	7.251180172	7.332149982	7.350540161	6.98277998	7.360199928	7.313230038	7.234809875	7.079810143	7.193600178	7.368750095	7.308849812	7.344069958	7.204440117	7.048970222	7.150939941	7.226860046	7.305980206	7.281549931	7.360980034	7.329120159	7.378059864	7.234330177	7.206669807	7.066669941	7.175479889	7.08491993	7.505010128	7.070829868	7.301370144	7.221340179	7.102670193	7.252220154	7.161880016	7.358829975	7.35352993	7.112850189	7.293270111	7.358829975	7.085130215	7.041689873	7.401529789	7.212299824	7.208920002	7.042920113	7.044660091	7.117249966	7.185860157	7.326700211	7.113379955	7.274909973	6.966670036	7.128280163	7.220399857	7.171120167	7.252490044	7.354219913	6.962729931	7.172639847	7.088940144	7.247829914	7.294360161	7.114459991	7.238939762	7.201340199	7.181920052	7.1802001	7.299109936	7.140170097	7.298309803	7.116559982	8.060569763	7.346149921	7.361100197	7.39605999	7.09236002	7.286739826	7.136929989	7.361559868	7.143650055	7.102340221	7.112539768	7.168179989	7.047190189	7.277130127	7.242589951	7.073870182	7.118559837	7.228559971	7.272339821	6.994550228	7.259659767	7.219279766	7.251110077	7.246890068	7.177710056	7.315410137	7.397830009	6.95664978	7.115610123	7.218949795	7.092150211	7.34469986	7.222630024	7.45554018	7.343729973	7.267889977	7.099629879	7.306580067	7.167749882	7.215600014	7.049849987	7.807459831	7.819459915	7.101749897	7.294360161	7.312930107	7.182869911	7.159289837	7.233739853	7.17512989	7.362790108	7.218009949	7.217410088	7.158549786	7.256400108	7.333089828	7.177840233	7.193109989	7.161630154	7.266439915	7.283649921	7.596720219	7.218249798	7.333740234	7.31415987	7.340980053	7.285299778	7.190100193	7.127160072	7.338349819	7.123189926	7.135749817	7.228559971	7.166729927	6.950749874	7.02159977	7.402669907	7.53579998	7.209899902	7.290929794	7.356599808	7.405950069	7.332769871	7.250219822	7.231770039	7.130919933	7.335400105	7.170390129	7.118919849	7.146669865	7.076489925	7.114359856	7.583590031	7.15997982	7.192259789	7.152470112	7.513969898	7.141089916	7.355360031	7.332449913	7.486050129	7.294159889	7.371419907	7.3010602	7.27380991	7.280650139	7.35243988	7.227600098	6.91242981	7.211070061	7.219130039	7.213160038	7.056739807	7.263269901	7.465680122	7.252029896	7.134359837	7.176889896	7.334980011	7.129389763	7.173240185	7.333849907	7.130099773	7.300469875	7.173240185	7.377709866	7.298999786	7.187240124	7.224309921	7.295149803	7.268640041	7.264530182	7.229949951	7.436910152	7.080200195	7.078929901	7.255169868
aacs	6.922629833	7.343520164	7.38037014	7.139949799	7.152589798	7.284220219	7.421279907	7.243619919	7.437819958	7.315740108	7.177289963	7.500229836	7.088479996	7.155320168	7.087580204	7.30700016	7.237530231	7.209980011	7.138279915	7.24630022	7.144219875	7.024940014	7.426010132	7.12609005	7.088069916	7.068830013	7.176249981	6.960130215	7.120259762	7.18682003	7.299399853	7.171999931	7.070030212	7.229450226	7.473350048	7.147850037	7.361219883	6.916100025	7.046760082	6.97894001	7.174570084	7.135029793	7.010019779	6.821929932	6.980760098	7.102190018	7.236859798	7.287419796	7.231599808	7.105510235	7.19727993	7.171189785	7.052050114	7.313419819	7.123849869	7.555890083	7.107480049	7.279069901	7.230360031	7.128680229	7.129600048	7.304249763	7.503600121	7.076069832	6.976739883	7.143539906	7.362030029	7.308020115	7.086850166	7.365240097	7.280350208	7.213079929	7.123660088	7.343050003	7.134309769	7.096529961	7.211760044	6.992549896	7.014939785	7.07682991	7.175680161	7.091249943	7.417719841	7.25014019	7.441209793	7.127329826	7.467520237	7.133540154	7.247920036	7.09912014	7.001379967	7.161570072	7.09348011	7.112390041	7.331709862	7.152420044	7.163469791	7.055779934	7.466070175	7.096010208	7.095059872	7.320680141	7.113230228	7.187890053	7.191669941	7.089759827	7.192329884	7.181650162	7.185100079	7.015810013	7.260980129	6.946050167	7.333740234	7.21352005	7.227509975	7.086599827	7.24849987	7.328780174	7.366529942	7.004049778	6.951000214	7.158180237	7.090829849	7.105510235	6.956110001	7.475399971	7.187749863	7.082719803	7.150569916	7.120110035	7.13778019	7.115059853	7.200900078	7.307099819	7.144340038	7.185100079	7.176640034	7.239610195	7.573729992	7.312119961	7.041399956	7.077549934	7.225830078	7.392340183	7.277850151	7.319379807	7.142680168	7.251430035	7.158180237	7.213819981	7.094379902	7.201340199	7.117199898	7.10559988	7.192609787	7.25481987	7.212299824	7.203259945	7.02162981	7.139229774	7.230110168	7.363749981	7.201839924	7.220399857	7.197569847	7.24477005	7.063300133	7.24849987	7.19851017	7.153349876	7.173039913	6.990769863	7.103690147	7.091549873	7.156899929	7.095699787	7.184969902	7.243700027	7.057330132	7.117650032	7.19520998	7.150139809	7.393179893	7.09841013	7.10710001	7.078159809	7.100289822	7.22439003	7.214280128	7.211850166	7.153840065	7.103040218	7.110000134	7.350979805	7.337470055	7.093910217	7.047120094	7.10010004	7.287419796	7.095789909	7.114890099	7.367249966	7.181509972	7.269460201	7.190879822	7.132699966	7.21352005	7.122829914	7.036719799	7.142839909	7.25578022	6.966760159	7.03151989	7.126880169	7.15117979	7.107530117	7.253689766	7.355909824	7.045820236	7.03895998	7.163980007
aadac	6.823140144	6.847640038	6.883080006	6.938539982	6.866990089	6.89662981	6.863510132	6.766699791	6.947869778	6.926790237	6.778039932	6.910520077	6.888470173	6.801209927	6.885439873	6.825240135	6.846399784	6.887959957	6.852059841	6.835609913	6.826839924	6.803470135	6.859509945	6.853469849	6.927820206	6.880529881	6.797060013	6.810249805	6.865920067	6.798240185	6.876299858	6.945909977	6.924079895	6.847760201	6.881189823	6.886519909	6.871860027	6.871399879	6.838990211	6.857419968	6.839869976	6.837609768	6.918610096	6.899370193	6.903480053	6.838990211	6.900440216	6.846690178	6.834010124	6.81633997	6.891230106	6.947840214	6.810480118	6.855390072	6.903960228	6.876210213	6.840839863	6.926939964	6.910109997	6.767039776	6.876080036	6.990600109	6.870790005	6.830269814	6.935550213	6.997869968	6.794670105	6.845230103	6.82998991	6.828579903	6.954269886	6.880179882	6.814750195	6.846069813	6.944900036	6.844600201	6.899250031	6.885149956	6.95167017	6.762609959	6.943769932	6.803269863	6.845650196	6.847290039	6.978579998	6.856589794	6.85063982	6.861899853	6.897170067	6.875529766	6.937580109	6.968389988	6.8927598	6.891610146	6.83618021	6.97025013	6.936999798	6.787099838	6.859109879	6.854629993	6.850049973	6.820370197	6.799389839	6.908559799	6.827109814	6.894499779	6.831439972	6.781610012	6.850399971	6.853549957	6.820380211	6.855679989	6.94836998	6.835559845	6.899799824	6.944180012	6.860360146	6.8302598	6.927140236	6.859039783	6.83604002	6.830339909	6.83066988	6.841589928	6.771399975	6.822259903	6.770969868	6.793190002	6.899459839	6.921710014	6.896900177	6.906199932	6.782539845	6.835869789	6.919239998	6.905010223	6.747869968	6.877639771	6.840439796	6.891170025	6.834050179	6.785480022	6.875689983	6.7729702	6.896480083	6.843229771	6.946839809	6.834449768	6.854119778	6.836279869	6.806580067	6.957439899	6.802499771	6.899940014	6.819960117	6.844329834	6.718170166	6.874149799	6.90128994	6.914919853	7.071090221	6.868919849	6.669980049	6.826960087	6.785590172	6.888189793	6.886229992	6.826029778	6.948120117	6.830580235	6.869299889	6.847949982	6.871439934	6.820829868	7.048550129	6.847139835	6.836820126	6.780189991	6.853050232	6.869740009	6.815020084	6.822730064	6.894569874	6.834149837	6.868760109	6.756440163	6.777009964	6.826409817	6.833159924	6.824100018	7.00301981	6.921170235	6.764050007	7.018829823	6.801420212	6.950319767	6.818580151	6.774030209	6.863230228	6.93764019	6.944469929	6.951690197	6.998189926	6.866559982	6.880090237	6.845009804	6.938419819	6.872290134	6.8261199	6.818459988	6.896870136	6.885340214	6.866099834	6.849639893	6.804069996	6.860620022	6.91753006	6.836050034	6.837329865	6.856229782	6.795680046
