gene_symbol	GSM594041	GSM594042	GSM594043	GSM594044	GSM594045	GSM594046	GSM594047	GSM594048	GSM594057	GSM594058	GSM594059	GSM594060	GSM594061	GSM594062	GSM594063	GSM594064
class	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
a1bg	6.73232	6.70278	6.79149	6.88526	6.84958	6.70497	7.17637	6.62297	6.58995	6.64351	6.77265	6.77948	6.73311	6.6061	6.65985	6.83732
a1cf	5.16903	5.2793	5.32799	5.08957	5.16001	5.20898	5.13914	5.24212	5.21353	5.227	5.08535	5.35375	5.19268	5.21026	5.19934	5.15374
a2m	11.2301	11.0217	10.9488	11.1536	11.1545	11.1697	11.3499	11.1386	10.7257	11.2363	11.1038	10.7375	10.352	11.1889	11.2139	10.7973
a2ml1	5.65678	5.77757	5.65056	5.5439	5.56559	5.47888	5.49349	5.38765	5.41997	5.46177	5.5998	5.75704	5.79548	5.34648	5.36217	5.5487
a3galt2	7.24859	6.94549	7.3002	7.17054	7.18589	6.96491	7.23119	7.15923	7.24313	7.02414	7.35012	7.4846	7.23008	6.91583	6.94365	7.18579
a4galt	8.3067	8.14358	8.05091	8.26048	8.153	8.24072	8.35954	8.25587	8.37857	8.0147	8.33562	8.22384	8.19434	8.24103	8.12841	8.65378
aaas	6.7424	6.76751	7.01327	6.47252	6.82904	6.70949	6.74258	6.59689	7.01143	7.07494	7.00461	7.09824	6.9129	6.72054	6.82989	6.74725
