gene_symbol	GSM367781	GSM367782	GSM367783	GSM367784	GSM367785	GSM367786	GSM367787	GSM367788	GSM367789	GSM367790	GSM367791	GSM367792	GSM367793	GSM367794	GSM367795	GSM367796	GSM367797	GSM367798	GSM367799	GSM367800	GSM367801	GSM367802	GSM367803
class	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
a1cf	7.57984	6.98164	6.63733	6.25845	7.22384	7.34993	7.71733	7.34213	7.45039	7.79057	6.68624	7.11395	6.77824	7.7218	6.68079	7.11395	6.7379	6.33282	7.03368	7.14044	7.69452	7.84089	7.72664
a2m	9.92634	10.6603	10.9879	10.5547	10.6154	9.90547	9.6606	10.1047	10.0342	10.0684	10.5994	9.85574	10.586	10.1157	9.92693	10.2617	10.1135	10.7215	10.1385	10.4261	10.1156	9.89228	10.2165
a4galt	5.29373	5.77262	5.42893	5.88279	6.14864	5.66711	5.37245	5.56217	5.66065	5.4556	5.41871	5.37385	5.82705	5.29092	5.34783	5.76138	5.47924	5.68116	5.50518	6.13385	5.59452	5.47487	5.3949
a4gnt	6.51256	6.52769	6.36181	6.46965	6.99553	6.38562	6.41541	6.643	6.48692	6.45332	6.29598	6.48692	6.86675	6.67608	6.48443	6.51536	6.34219	6.222	6.39361	6.94166	6.58135	6.50235	6.73551
aaas	7.86335	7.89704	7.66359	8.01526	7.96322	7.86335	7.96973	8.06154	7.7961	8.11091	7.86245	7.91765	7.65666	7.94804	7.81686	8.08049	7.80044	7.76506	7.82576	7.97257	8.05327	7.83641	7.84877
aacs	7.07893	7.4112	8.19816	7.68491	7.2175	7.32938	7.36337	7.70018	7.55602	6.96051	7.88738	7.22334	7.86959	7.24784	7.88896	7.33307	7.1859	7.81232	8.20358	7.37735	7.03819	7.31049	7.42137
aadac	6.07938	6.49774	6.41439	6.20386	6.01597	5.92838	5.88161	5.8432	6.42751	5.58774	6.00586	5.79447	6.28552	5.88832	5.69921	5.93034	6.2985	5.67631	6.13743	5.97062	6.44749	5.89938	5.94762
aagab	6.4459	6.77849	6.49882	6.48131	6.47554	6.39453	6.40105	6.28178	6.53381	6.40334	6.52888	6.54089	6.61872	6.51879	6.31835	6.5105	6.41278	6.66414	6.53864	6.62377	6.50158	6.45044	6.57773
