ID	gsm3378154	gsm3378156	gsm3378158	gsm3378160	gsm3378162	gsm3378164	gsm3378169	gsm3378171	gsm3378173	gsm3378175	gsm3378177	gsm3378179	gsm3378193	gsm3378194	gsm3378195	gsm3378196	gsm3378197	gsm3378198	gsm3378199	gsm3378200	gsm3378201	gsm3378202	gsm3378203	gsm3378204	gsm3378205	gsm3378206	gsm3378207	gsm3378208	gsm3378217	gsm3378218	gsm3378219	gsm3378220	gsm3378221	gsm3378222	gsm3378223	gsm3378224	gsm3378225	gsm3378226	gsm3378227	gsm3378228	gsm3378229	gsm3378230	gsm3378231	gsm3378232	gsm3378263	gsm3378264	gsm3378265	gsm3378266	gsm3378267	gsm3378270	gsm3378271	gsm3378272	gsm3378273	gsm3378274	gsm3378275	gsm3378286	gsm3378287	gsm3378288	gsm3378289	gsm3378290	gsm3378291	gsm3378292	gsm3378293	gsm3378294	gsm3378295	gsm3378296	gsm3378297	gsm3378298	gsm3378299	gsm3378300	gsm3378301	gsm3378310	gsm3378311	gsm3378312	gsm3378313	gsm3378314	gsm3378315	gsm3378316	gsm3378317	gsm3378318	gsm3378319	gsm3378320	gsm3378321	gsm3378322	gsm3378354	gsm3378355	gsm3378356	gsm3378357	gsm3378358	gsm3378359	gsm3378362	gsm3378363	gsm3378364	gsm3378365	gsm3378366	gsm3378367	gsm3378386	gsm3378387	gsm3378388	gsm3378389	gsm3378390	gsm3378391	gsm3378392	gsm3378393	gsm3378410	gsm3378411	gsm3378412	gsm3378413	gsm3378414	gsm3378415	gsm3378416	gsm3378417	gsm3378445	gsm3378446	gsm3378447	gsm3378448	gsm3378449	gsm3378450	gsm3378453	gsm3378454	gsm3378455	gsm3378456	gsm3378457	gsm3378458	gsm3378477	gsm3378478	gsm3378479	gsm3378480	gsm3378481	gsm3378482	gsm3378483	gsm3378484	gsm3378501	gsm3378502	gsm3378503	gsm3378504	gsm3378505	gsm3378506	gsm3378507	gsm3378508
class	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2
a1cf	65.92120361	67.1785965	62.42950058	59.39519882	59.99150085	64.19499969	60.0080986	62.24330139	57.17210007	64.80840302	61.18880081	62.55319977	58.74119949	61.81700134	64.9571991	63.63130188	64.53079987	64.86799622	62.91809845	70.27429962	59.23759842	59.59680176	72.51750183	61.06819916	63.50400162	67.6309967	62.67599869	61.72850037	66.95059967	60.17290115	60.51789856	63.42020035	66.54399872	61.97639847	68.52010345	64.3082962	60.63650131	61.53879929	65.08999634	61.66770172	67.7173996	64.18060303	64.21489716	67.92980194	63.89440155	67.68379974	62.06309891	62.64649963	62.19480133	63.41289902	56.80759811	62.23310089	62.61600113	61.58110046	61.77050018	63.44340134	58.71689987	64.42559814	66.5739975	59.83990097	68.11660004	64.57360077	65.9720993	62.76860046	63.38990021	62.31290054	67.24250031	65.27700043	63.49319839	66.77459717	68.08540344	64.64050293	63.46319962	72.60340118	69.04350281	60.70550156	72.63790131	60.73609924	55.47539902	61.02999878	64.93260193	63.62870026	66.93869781	68.91439819	61.17419815	62.37540054	69.91239929	58.54069901	62.33309937	65.45330048	61.8260994	62.66469955	64.16940308	62.95040131	63.60570145	62.4314003	63.7635994	64.94779968	59.66939926	64.80639648	68.10810089	60.64519882	61.7356987	64.55940247	74.29029846	61.43629837	61.93080139	63.0163002	63.54790115	61.43040085	61.75329971	64.37670135	63.42050171	63.7806015	64.25569916	69.90019989	66.02020264	66.53780365	60.12549973	61.85380173	63.06840134	64.20030212	60.57649994	63.99290085	64.83899689	64.49880219	67.58380127	64.60230255	65.80719757	69.55370331	63.44660187	60.83959961	65.37159729	71.95349884	63.71749878	66.21839905	70.43499756	64.42630005	71.32150269	64.33229828
a2m	50.97669983	51.83359909	49.76129913	50.03110123	60.02009964	50.99480057	53.41379929	53.9394989	47.42419815	49.7098999	54.77619934	62.32939911	51.86859894	53.88660049	52.97200012	63.54259872	62.82109833	60.29259872	54.61320114	61.78580093	47.60269928	59.68370056	60.57920074	62.04389954	57.58869934	52.04029846	75.37509918	52.55989838	54.16080093	50.26050186	59.32870102	56.84209824	56.12220001	49.5359993	45.77550125	58.91149902	46.18590164	50.90280151	49.5401001	56.67010117	48.75370026	52.38339996	55.99119949	50.19609833	54.58190155	57.42419815	55.99720001	58.04100037	61.20619965	55.8370018	51.7784996	51.24739838	50.2344017	50.52700043	55.78530121	44.86920166	57.98479843	49.58869934	54.83169937	50.10169983	55.19169998	52.02619934	50.87269974	56.99100113	63.49729919	50.37080002	55.98770142	53.84569931	52.99319839	55.93590164	56.51309967	56.51649857	63.14189911	53.22850037	58.72299957	59.96149826	55.24530029	56.07089996	51.68239975	73.07779694	53.18939972	55.37609863	56.49079895	61.31330109	58.62639999	58.50320053	55.92979813	48.99010086	57.40280151	59.67950058	54.90850067	57.67440033	56.52360153	59.57210159	55.14459991	57.64770126	49.42039871	52.13499832	59.14559937	53.85910034	56.32139969	54.95729828	60.15430069	58.43740082	54.97809982	49.1413002	54.8769989	45.86330032	50.0923996	56.19240189	57.43199921	60.27819824	51.85620117	53.23939896	58.8572998	59.94609833	51.46640015	53.60029984	59.23519897	56.96879959	52.97769928	56.17710114	60.55329895	52.80879974	57.9695015	51.66680145	47.04570007	55.80220032	50.44269943	54.3995018	51.38470078	52.40800095	49.63040161	54.16680145	57.98849869	56.96239853	47.29069901	51.82849884	53.50870132	54.54370117
a4galt	60.4571991	254.3029938	51.77050018	59.05550003	63.22480011	61.50120163	49.10609818	59.95510101	58.16970062	56.70069885	71.11759949	55.21480179	57.95410156	60.91550064	49.38660049	54.90570068	65.79299927	74.03820038	68.53990173	62.04980087	67.63729858	53.3260994	57.91400146	76.05909729	62.39490128	62.31399918	58.21659851	53.60369873	64.45500183	60.85329819	56.18069839	58.48099899	56.97430038	51.78900146	262.8049927	56.47969818	61.68259811	52.49980164	53.80210114	57.11249924	54.61759949	58.94200134	57.65470123	59.51319885	130.0529938	50.38619995	53.23220062	157.4179993	61.88489914	56.44369888	59.85290146	55.69680023	58.11819839	60.25999832	58.42910004	59.3260994	71.69609833	65.56800079	60.44010162	57.45899963	51.2784996	54.23899841	61.3207016	69.70890045	144.4279938	60.55870056	53.9640007	78.89910126	58.68190002	58.46630096	72.74089813	61.38399887	59.95100021	63.53979874	57.0685997	54.77339935	84.82289886	50.59899902	60.21260071	63.73519897	64.63400269	75.58869934	67.62539673	60.94649887	61.29000092	95.37799835	61.46849823	52.05369949	57.53649902	55.13539886	55.55289841	64.40049744	63.04460144	56.10929871	59.57540131	62.57839966	61.03749847	60.16230011	79.16079712	59.29600143	57.47740173	60.2798996	52.67050171	59.48139954	52.92449951	57.84049988	49.66109848	57.43299866	54.43909836	60.10680008	52.83539963	63.95289993	61.61330032	67.72940063	57.37459946	68.53160095	70.56610107	57.09780121	57.16849899	54.42679977	49.54410172	59.22660065	55.43420029	61.84199905	57.98479843	56.49290085	60.48089981	64.08390045	68.30509949	57.46409988	56.81829834	59.08879852	65.74839783	63.97200012	58.45439911	67.26470184	55.40710068	71.59809875	59.4211998	54.37779999
a4gnt	78.86769867	65.03559875	80.88729858	91.08460236	86.38300323	87.58070374	84.63710022	60.04000092	87.54470062	85.63339996	75.88700104	75.65779877	80.05049896	75.28250122	71.71450043	68.6207962	81.05789948	75.66629791	84.41829681	69.62400055	86.16290283	76.6678009	70.2276001	72.42320251	75.27459717	63.15999985	72.84700012	78.4957962	69.29640198	72.16600037	76.70349884	82.39839935	82.70929718	83.72519684	74.50920105	75.85919952	77.24510193	73.74700165	71.51390076	87.37310028	79.63130188	75.13760376	87.69259644	74.76119995	88.51760101	80.10009766	85.21140289	71.14260101	78.42479706	75.30449677	81.99019623	77.15070343	82.18260193	82.73339844	71.32080078	72.08390045	75.15129852	69.4701004	74.36650085	77.89600372	75.12259674	76.76529694	91.99479675	61.62870026	72.21679688	65.22930145	72.76750183	61.94440079	67.80319977	84.71320343	68.06300354	84.13430023	68.57369995	70.68180084	64.6914978	54.53779984	90.55269623	56.20159912	72.99990082	65.02410126	72.22000122	73.56159973	76.30750275	91.20600128	73.88079834	86.41159821	60.45479965	53.33169937	82.1309967	78.55039978	74.03949738	74.99240112	74.6140976	78.55950165	68.83899689	81.92379761	84.58879852	81.64679718	67.51180267	71.2786026	100.1380005	76.82790375	79.69799805	81.04419708	61.93790054	87.05259705	86.58820343	84.45610046	89.15969849	79.54229736	86.33999634	88.02760315	76.40619659	75.60500336	69.92160034	73.07430267	65.72080231	54.3083992	81.3871994	61.25889969	66.12249756	70.77940369	71.83840179	71.23239899	84.06269836	71.83039856	89.98570251	77.74449921	63.63019943	75.96730042	84.68789673	80.58139801	76.49420166	89.58879852	70.28890228	72.26059723	93.83540344	73.37349701	72.6053009	68.44519806
aaas	82.8022995	64.65329742	79.95580292	93.04239655	97.82610321	95.94509888	94.98120117	94.99990082	86.90309906	74.96920013	103.637001	87.63249969	70.23390198	61.22740173	90.2614975	82.71759796	91.81600189	96.92340088	90.24659729	89.76010132	94.70210266	94.90550232	59.21889877	99.97019958	88.13950348	68.56970215	92.33899689	96.14800262	82.92500305	77.0503006	76.05599976	93.78220367	82.24479675	96.45510101	65.83830261	90.99890137	75.29920197	61.95259857	71.3792038	105.0240021	83.11090088	83.84970093	85.33830261	95.88159943	93.75430298	88.46279907	82.52729797	76.36949921	89.33249664	104.3280029	101.4649963	90.88310242	97.11830139	91.82109833	85.5667038	108.1289978	97.67669678	92.82450104	92.90740204	92.62770081	97.61309814	93.71240234	75.0931015	74.82579803	84.95809937	72.2519989	92.01069641	107.2949982	101.6470032	93.76000214	82.82379913	108.5930023	98.99240112	84.39550018	118.6930008	69.6292038	81.56420135	136.0079956	100.1070023	149.1869965	102.2450027	131.9929962	72.75409698	86.60739899	86.75610352	77.7614975	65.46489716	102.3779984	92.26679993	93.2736969	96.43579865	113.5419998	65.03910065	100.8430023	90.36689758	86.10939789	78.03330231	73.11920166	82.54589844	71.44889832	89.7696991	82.37149811	85.50150299	89.02500153	72.16390228	74.74559784	83.00319672	73.45809937	95.16809845	86.15599823	96.70829773	90.47290039	92.6391983	102.5599976	103.8710022	79.63760376	76.66169739	78.22190094	99.917099	81.90110016	91.80549622	91.77940369	83.1536026	95.11199951	75.93959808	100.4720001	68.21790314	75.03669739	82.34760284	60.77890015	78.57610321	82.73059845	103.6460037	79.97299957	83.19799805	100.637001	72.19049835	81.39679718	84.36740112	75.88539886
aacs	99.11209869	84.79100037	91.74259949	107.1999969	96.50710297	99.05200195	102.75	95.74639893	121.5540009	97.70529938	103.6279984	98.19920349	95.63200378	153.8670044	120.5940018	118.6679993	108.223999	124.1240005	138.576004	116.5550003	130.9440002	175.0939941	90.02749634	110.237999	148.2319946	85.50150299	119.5550003	117.0979996	67.59950256	105.5130005	95.65750122	110.4079971	108.8470001	89.59829712	139.2160034	111.5930023	103.1210022	121.9020004	93.68979645	116.1210022	105.2269974	97.4559021	102.4430008	104.7389984	99.2507019	100.3180008	86.09449768	110.4820023	96.76830292	96.75530243	96.50090027	106.0950012	95.2888031	87.56860352	94.13189697	121.5410004	115.2040024	102.9169998	103.3669968	113.3600006	122.6449966	146.9960022	104.5029984	111.9339981	116.3970032	139.2339935	136.2299957	146.3269958	113.8669968	114.2710037	110.586998	143.8829956	120.6330032	140.003006	134.1320038	181.1199951	134.875	151.2579956	93.47059631	150.602005	121.7689972	101.4889984	100.8099976	126.5319977	100.1460037	84.99330139	109.9649963	104.7559967	99.49970245	104.5029984	103.7580032	112.2470016	86.61119843	102.8339996	101.6090012	113.2369995	75.27980042	115.2160034	98.0039978	97.43540192	77.24859619	104.1699982	121.5940018	91.66329956	82.28939819	83.36849976	87.29689789	93.14839935	106.2529984	95.02980042	104.4769974	94.37789917	94.84970093	105.4290009	112.8099976	106.0410004	91.5734024	91.32050323	103.2300034	100.0749969	92.90180206	105.4469986	91.01889801	101.7450027	94.80740356	107.3919983	91.97859955	104.7040024	118.4749985	111.9459991	100.4189987	118.6679993	99.92420197	112.4369965	107.3919983	119.1869965	94.81960297	108.3919983	98.59970093	102.6259995
aadac	67.44589996	58.55989838	72.91870117	65.64759827	67.69429779	68.17179871	68.07820129	68.91359711	71.60099792	68.23480225	70.27690125	65.62290192	72.26280212	72.51339722	68.31459808	69.61170197	60.88460159	62.95460129	69.10500336	60.87310028	73.79509735	68.13110352	68.11920166	65.10399628	56.27399826	67.51650238	68.13269806	70.15910339	68.27519989	72.22540283	65.72589874	64.26319885	67.8506012	70.14749908	74.5039978	66.91149902	70.36789703	73.97260284	68.79319763	72.49620056	76.85829926	65.71569824	69.08159637	69.82039642	68.04499817	67.64659882	74.94000244	57.58570099	62.80680084	71.31990051	69.61599731	72.61190033	69.64320374	62.43669891	70.5931015	68.63150024	67.52179718	63.46279907	61.05270004	65.65129852	64.83029938	71.95539856	67.01460266	76.91739655	61.27099991	79.44120026	68.29699707	66.20860291	71.04039764	63.78710175	62.43080139	62.53570175	76.20290375	70.09059906	121.4589996	67.90670013	79.99620056	68.06620026	69.78199768	60.08340073	67.375	68.06459808	92.47429657	95.9138031	69.21990204	64.04450226	65.57540131	67.09230042	71.12640381	66.42500305	61.4054985	73.38030243	64.87979889	70.56900024	69.60369873	65.66950226	65.55290222	63.72869873	65.75849915	62.98600006	70.15000153	64.52780151	68.31860352	72.47769928	74.90180206	66.48210144	60.67110062	73.06310272	71.07109833	65.6065979	63.99340057	64.27549744	61.95759964	63.38349915	70.47730255	62.35150146	83.62400055	65.2519989	64.4240036	67.71279907	70.3832016	63.53549957	64.20559692	63.23600006	65.33650208	69.85669708	67.22709656	69.11620331	61.05879974	66.91000366	67.42510223	69.40589905	71.44799805	66.79109955	68.79920197	65.8635025	72.06479645	61.77220154	83.88770294	65.93240356
