gene_symbol	GSM225470	GSM225471	GSM225472	GSM225473	GSM225474	GSM225475	GSM225476	GSM225477	GSM225478	GSM225479	GSM225480	GSM225481	GSM225483	GSM225484	GSM225485	GSM225486	GSM225487	GSM225488	GSM225489	GSM225490	GSM225491	GSM225492	GSM225493	GSM225494	GSM225495	GSM225496	GSM225497	GSM225498	GSM225499	GSM225500	GSM225501	GSM225502	GSM225503	GSM225504	GSM225505	GSM225506	GSM225507	GSM225508	GSM225509	GSM225510	GSM225511	GSM225512	GSM225513
class	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
a1bg	1187.44	962.183	3042.88	528.003	1377.64	318.537	312.051	651.36	995.51	1231.75	263.529	695.667	579.857	489.487	831.913	618.398	1124.66	1647.91	575.949	1383.14	1087.96	519.472	911.824	508.151	2073.62	641.394	1174.81	454.12	364.793	299.551	890.848	759.069	1259.81	324.45	560.047	291.345	817.602	777.658	726.348	876.994	612.713	377.217	1199.36
a1cf	77.9107	158.707	94.2598	103.036	116.244	113.356	256.259	138.161	133.541	152.961	195.735	160.071	255.631	128.872	251.072	84.0414	60.474	218.166	186.557	207.542	139.385	121.888	169.96	385.409	144.61	105.631	139.743	187.998	147.787	100.65	60.4789	103.835	168.949	123.99	161.386	253.907	137.035	149.893	126.36	429.031	185.56	86.9247	119.561
a2m	116802	83946.9	111725	92286.6	96111.3	109596	51129.2	100495	64469.6	120248	100397	146202	79766.3	171813	97369.8	107094	71303	158318	115177	97193.5	95557.1	98979.5	343726	112784	67695.8	120392	106088	114741	82170.1	103828	64504.7	88687.8	139103	72560.3	36806.8	105553	158707	73458	64747.5	76285.9	119139	77069.8	72678.2
a2ml1	702.555	298.087	190.289	172.837	407.199	235.653	585.728	377.65	959.506	255.058	170.341	114.466	202.957	92.052	280.745	351.842	341.879	2364.92	319.791	262.899	249.823	216.251	275.29	251.777	1372.24	256.33	221.482	724.973	270.793	207.957	202.993	231.603	271.481	143.152	268.016	213.523	1217.87	268.523	232.088	157.492	526.004	142.213	280.841
a4galt	359.129	1582.39	1119.28	1016.08	435.553	2760.15	2466.1	405.979	900.514	1553.29	277.408	2916.8	443.008	292.606	1983.53	382.905	258.973	880.886	249.495	911.002	838.242	1013.42	3688.33	506.03	1058.89	480.36	816.966	645.738	1239.8	705.929	472.654	1018.75	322.748	2678.57	687.568	1495.87	1477.56	277.336	1478.88	1250.19	1691.7	904.24	428.368
a4gnt	305.947	216.768	358.108	221.804	190.703	258.912	258.875	379.809	287.772	261.455	608.569	202.388	273.206	566.31	329.825	175.16	522.444	438.601	88.9263	161.064	317.516	269.404	236.841	180.288	194.775	287.606	247.34	150.207	273.706	447.241	195.681	230.938	187.691	284.35	2145.58	526.769	154.947	518.842	124.883	272.739	265.914	183.829	144.141
aaas	2234.37	2009.86	2133.13	2998.58	2762.29	1366.22	1521.9	931.058	2580.9	2708.03	1898.75	3251.69	1256.84	1913.62	1491.02	2724.12	1952.68	1879.08	1809.17	1335.77	2168.09	1853.61	4089.22	1617.92	1383.6	2605.52	2725.72	2816.31	1973.28	2154.19	3341.87	2731.91	1292.24	2667.09	1740.83	2640.04	3803.76	3009.59	2695.7	2354.25	2795.47	1941.07	2683.82
aacs	4332.89	8809.59	10009.4	5021.37	5785.92	8489.73	26429	10918.3	4595.73	12644.8	9627.45	4677.85	6966.94	6424.69	6178.66	3994.62	10926.7	3407.04	7626.66	6381.27	3592.77	8639.83	12292.2	7812.47	6653.91	6071.49	7197.32	9435.6	8404.7	10765.7	8348.4	5222.45	7538.58	6679.49	9801.35	6400.03	7851.11	6988.94	8756.74	8375.54	3520.05	8089.73	10888.5
