ID	gsm76030	gsm76031	gsm76032	gsm76033	gsm76034	gsm76035	gsm76036	gsm76037	gsm76038	gsm76039	gsm76040	gsm76041	gsm76042	gsm76043	gsm76044	gsm76045	gsm76046	gsm76047	gsm76048	gsm76049	gsm76050	gsm76051	gsm76052	gsm76053	gsm76054	gsm76055	gsm76056	gsm76057	gsm76058	gsm76059	gsm76060	gsm76061	gsm76062	gsm76063	gsm76064	gsm76065	gsm76066	gsm76067	gsm76068	gsm76069	gsm76070	gsm76071	gsm76072	gsm76073	gsm76074	gsm76075	gsm76076	gsm76077	gsm76078	gsm76079	gsm76080	gsm76081	gsm76082	gsm76083	gsm76084	gsm76085	gsm76086	gsm76087	gsm76088	gsm76089	gsm76090	gsm76091	gsm76092	gsm76093	gsm76094	gsm76095	gsm76096	gsm76097	gsm76098	gsm76099	gsm76100	gsm76101	gsm76102	gsm76103	gsm76104	gsm76105	gsm76106	gsm76107	gsm76108	gsm76109	gsm76110	gsm76111	gsm76112	gsm76113	gsm76114	gsm76115	gsm76116	gsm76117	gsm76118	gsm76119	gsm76120	gsm76121	gsm76122	gsm76123	gsm76124	gsm76125	gsm76126	gsm76127	gsm76128	gsm76129	gsm76130	gsm76131	gsm76132	gsm76133	gsm76134	gsm76135	gsm76136	gsm76137	gsm76138	gsm76139	gsm76140	gsm76141	gsm76142	gsm76143	gsm76144	gsm76145	gsm76146	gsm76147	gsm76148	gsm76149	gsm76150	gsm76151	gsm76152	gsm76153	gsm76154	gsm76155	gsm76156
class	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a1cf	89.24079895	72.5535965	78.34140015	78.21589661	53.76300049	52.44810104	66.311203	68.48709869	97.62200165	66.86039734	106.2220001	68.19409943	77.15080261	67.04299927	62.73389816	70.18379974	75.85119629	93.58370209	98.3839035	66.91369629	61.53839874	66.78320313	57.91740036	66.80139923	62.01340103	76.89640045	72.07440186	82.07659912	64.29190063	88.15480042	57.00519943	74.90869904	166.951004	56.11999893	78.38490295	51.8465004	81.7460022	51.87360001	52.47399902	70.54429626	45.57379913	88.40679932	66.21920013	88.84130096	82.07160187	91.18229675	67.87359619	83.94300079	76.76100159	89.86049652	58.5780983	37.31240082	51.04140091	52.79769897	77.05979919	65.01719666	77.97109985	51.10499954	65.55549622	72.55139923	87.12310028	112.1200027	82.50460052	100.3470001	80.84609985	109.0630035	81.09169769	21.13920021	49.68980026	92.38030243	105.211998	141.6060028	78.7052002	80.94210052	75.37619781	67.38809967	47.08620071	89.14910126	54.0943985	127.5790024	82.19860077	106.8219986	76.21549988	78.80789948	78.97200012	65.17910004	55.99520111	59.83509827	68.53209686	64.95210266	59.03229904	67.72470093	59.96989822	67.01719666	105.4749985	35.12490082	67.64209747	56.74520111	41.23329926	66.76760101	68.36959839	50.71960068	61.36320114	55.80739975	50.43629837	68.11039734	57.10609818	42.67430115	78.3184967	51.1427002	74.1352005	46.65819931	61.26160049	31.12210083	50.17919922	68.18759918	70.83920288	65.69589996	69.60540009	56.3091011	53.5318985	69.03399658	93.22779846	36.21590042	61.33919907	82.35070038	56.07310104
a2m	27.67370033	5.720719814	22.45509911	26.12350082	11.56050014	14.66819954	11.94909954	3.387550116	5.885829926	28.375	2.284120083	9.06332016	14.25520039	4.018959999	18.63310051	16.78409958	5.58713007	21.7432003	14.60789967	13.88510036	6.203569889	17.78709984	20.78590012	17.67860031	5.081470013	16.97970009	32.11830139	8.822779655	10.95069981	4.644889832	18.52639961	27.58589935	8.905960083	19.79560089	21.89139938	17.94939995	29.57629967	15.08049965	2.698230028	20.29000092	3.212450027	24.89290047	28.55629921	8.839810371	14.42679977	4.047830105	16.66819954	21.44219971	11.45230007	35.6814003	4.443520069	1.853899956	4.539420128	2.920830011	7.240119934	22.06839943	27.80369949	17.04369926	28.64299965	22.71050072	21.74699974	7.448480129	3.916169882	34.38560104	11.8913002	31.26049995	4.470990181	2.348350048	4.622729778	4.370540142	10.16409969	4.291190147	4.4917202	23.20089912	4.496379852	3.983419895	9.704350471	11.18109989	3.527120113	8.896140099	3.959840059	9.622850418	20.14579964	10.38899994	10.76229954	2.293550014	4.391479969	16.50699997	17.94680023	3.93930006	2.960350037	15.57940006	8.564419746	4.68242979	44.4109993	10.7020998	21.82290077	13.68970013	11.77509975	13.49800014	7.693429947	20.43079948	10.19680023	2.424010038	12.41670036	3.119659901	25.95599937	2.457000017	25.34810066	19.10300064	6.706429958	11.89169979	3.909960032	9.451470375	5.446229935	5.549819946	21.64529991	18.32769966	22.57029915	4.835669994	3.015490055	21.5170002	11.66940022	17.58909988	7.960669994	18.11149979	23.7057991
a4galt	34.72040176	51.43069839	36.70439911	27.66869926	24.31279945	27.50270081	21.62269974	14.58850002	51.19060135	49.2173996	37.74480057	34.45650101	25.86470032	20.45420074	25.65379906	40.14690018	9.238710403	39.38130188	34.51890182	33.20940018	15.48019981	20.49559975	22.56270027	21.87459946	24.6697998	30.06369972	41.73160172	11.64680004	36.95690155	105.651001	27.06049919	35.1631012	54.895401	22.01070023	16.60880089	14.53909969	50.38000107	23.01370049	36.95040131	10.47869968	18.04080009	37.86589813	45.32239914	6.313970089	74.92849731	13.22630024	25.64609909	27.50740051	22.21430016	29.40859985	35.55519867	14.39579964	32.07369995	25.82749939	5.671549797	12.13829994	33.14239883	10.48190022	36.02610016	35.45769882	7.54090023	34.79930115	48.14070129	67.78919983	36.90240097	31.12599945	15.71389961	17.94350052	17.63949966	40.65200043	32.97169876	54.80369949	26.39940071	31.80579948	28.22310066	31.37260056	11.62749958	25.44669914	33.37129974	28.42650032	22.38290024	34.71369934	37.3321991	23.28619957	25.89249992	6.931459904	12.94069958	17.46590042	39.30739975	19.45000076	21.40530014	23.66379929	60.75579834	14.76659966	11.27530003	7.91094017	20.36260033	19.09639931	31.31060028	22.06819916	3.194689989	28.57749939	7.789450169	12.50940037	27.41559982	29.9946003	15.04150009	13.4073	12.30519962	35.07630157	35.53079987	21.98500061	10.11200047	21.18860054	18.59679985	11.90470028	18.88349915	32.9510994	6.187389851	24.72459984	5.987919807	27.3260994	18.32099915	6.626880169	10.35890007	35.24300003	12.10449982
a4gnt	25.74489975	30.88780022	52.21229935	16.49480057	3.389499903	11.14330006	13.92070007	38.91540146	45.40029907	37.39590073	46.20729828	33.67089844	58.5326004	43.30789948	12.3263998	32.78219986	52.09159851	25.60230064	38.6004982	27.9416008	37.14870071	11.96350002	35.29520035	43.79679871	45.4272995	41.57849884	41.50680161	22.44610023	35.42200089	10.10659981	30.17779922	29.01539993	12.82859993	9.298399925	40.03210068	37.92039871	14.9836998	13.73700047	11.21560001	31.93829918	26.95400047	50.76290131	33.13380051	39.51599884	50.1753006	50.85570145	39.62559891	39.70669937	40.03919983	16.22200012	33.72449875	14.34399986	27.64859962	16.13409996	32.30849838	50.39619827	38.31219864	24.04179955	23.47310066	7.033370018	17.96590042	21.15620041	53.05070114	10.29199982	38.71179962	45.32440186	44.29660034	27.69659996	36.1896019	40.22230148	42.39559937	62.34519958	12.33889961	54.08850098	37.85760117	23.4416008	26.35549927	34.91579819	45.91410065	34.61090088	20.60070038	30.5904007	44.31909943	45.5542984	33.16749954	32.03680038	22.35910034	6.886459827	43.45909882	44.71060181	29.32159996	7.657879829	45.04180145	33.81840134	66.90799713	5.855639935	11.59619999	20.25670052	23.15889931	42.49980164	51.61600113	49.26869965	51.0080986	20.1189003	6.303090096	34.62549973	26.40110016	26.53730011	35.84769821	36.10520172	47.25830078	12.19509983	41.10950089	12.48719978	32.22480011	34.5284996	53.25680161	7.405189991	19.40589905	9.79502964	33.16609955	41.76119995	24.96349907	31.11660004	28.34320068	38.53960037	58.97880173
aaas	30.77449989	12.66100025	61.32749939	41.88270187	44.19860077	28.86429977	29.16909981	18.28440094	30.78630066	20.88260078	22.82579994	17.2534008	8.705459595	38.0367012	21.10849953	37.54550171	17.77980042	26.79170036	9.874620438	12.33740044	11.46310043	24.31450081	45.8608017	27.41259956	48.14009857	11.82549953	5.460179806	24.17350006	36.27249908	52.71419907	37.01440048	30.1480999	64.14019775	16.53249931	23.64150047	12.12959957	11.40110016	29.85820007	27.91309929	9.188929558	29.32600021	46.51409912	9.848039627	38.54499817	7.254010201	25.43869972	15.36810017	46.67300034	6.467179775	29.30050087	32.4015007	34.2806015	46.41410065	23.94269943	42.19060135	47.98080063	18.56279945	12.33329964	32.10660172	18.36100006	33.43360138	19.00049973	21.92370033	31.37280083	38.18330002	29.85650063	34.26520157	51.09529877	36.52050018	8.870209694	8.689430237	11.35109997	28.75819969	25.10610008	38.50350189	30.60589981	26.33760071	36.75439835	13.65499973	25.1678009	13.96720028	32.32870102	4.470759869	54.50619888	39.65420151	35.83179855	14.1413002	20.11240005	24.11770058	79.55419922	40.29610062	31.40270042	56.83530045	55.71110153	29.7961998	35.00299835	11.02519989	26.44799995	63.59349823	31.54509926	36.7845993	20.61079979	6.908909798	17.24370003	36.06909943	9.162150383	7.645579815	42.00780106	24.97410011	29.47990036	37.30110168	17.99290085	26.02589989	8.928709984	18.32999992	50.65729904	38.62049866	25.12859917	15.52029991	14.89509964	36.04859924	19.38629913	15.52830029	29.36440086	22.6413002	27.46590042	30.51070023
aacs	46.31209946	65.77390289	68.42489624	56.125	64.44860077	77.92639923	57.41500092	72.69470215	53.39970016	32.49940109	48.97949982	35.79470062	59.12360001	63.3832016	62.09460068	54.37580109	63.43889999	44.2356987	50.51480103	70.59819794	71.60140228	49.78630066	57.48419952	54.29550171	49.84949875	63.23059845	42.03939819	45.46509933	57.44670105	28.36660004	44.64350128	47.17259979	54.64979935	48.83060074	41.68650055	50.5428009	47.35879898	38.19540024	43.13290024	47.30239868	35.59000015	67.92610168	49.50979996	51.66519928	67.52980042	49.31869888	44.25510025	46.38230133	42.5279007	23.48410034	67.12599945	58.08969879	70.65280151	23.65110016	55.59799957	58.44240189	66.39459991	60.56740189	37.72159958	47.61840057	39.78310013	12.86800003	44.69029999	27.37639999	50.51300049	68.31990051	56.4341011	64.06330109	51.95800018	36.69549942	46.57460022	38.04520035	62.3871994	51.69509888	62.13940048	56.38890076	48.53990173	72.31529999	35.9557991	48.53480148	56.39889908	49.95619965	46.33399963	65.23509979	46.76089859	58.62340164	56.05099869	41.32590103	63.27149963	105.8850021	64.05870056	56.98720169	72.0121994	65.36489868	56.69910049	66.06680298	50.05490112	73.39389801	86.66400146	69.83860016	64.5644989	55.16180038	64.00800323	58.84949875	70.5617981	64.01210022	56.06489944	66.91059875	71.56559753	36.52619934	73.95559692	53.39419937	66.97669983	36.85649872	45.88479996	45.91609955	58.09880066	49.40110016	65.35900116	61.53760147	65.46679688	51.72019958	77.96990204	48.50569916	63.9272995	89.53600311	46.38259888
aadac	2.201450109	21.92679977	2.139270067	4.430510044	5.326069832	12.22119999	4.153540134	2.990070105	4.429540157	4.390629768	5.761489868	4.06953001	4.145160198	2.20991993	10.45390034	4.834179878	6.807010174	10.51480007	6.817230225	3.312779903	7.253039837	4.790299892	3.437659979	4.656040192	1.538450003	3.016330004	9.919050217	5.506340027	4.729169846	2.535010099	2.093189955	8.713970184	24.22719955	5.048970222	3.7917099	8.380960464	4.787499905	4.086709976	3.307470083	3.884890079	5.42539978	3.583990097	2.769520044	3.936619997	4.740039825	10.34189987	6.049580097	4.54377985	3.24661994	7.938549995	5.391670227	19.02179909	3.307300091	4.481619835	4.079539776	4.188469887	20.27280045	11.72859955	2.303159952	3.280800104	2.379499912	9.602780342	5.774040222	7.758979797	3.9207201	3.077199936	4.55174017	5.514659882	19.81270027	12.11509991	3.473939896	6.431369781	5.92181015	10.9289999	4.164820194	3.970839977	4.072850227	6.56471014	4.138909817	12.01309967	3.618309975	7.695469856	5.895420074	5.046629906	4.334060192	21.44919968	12.0848999	3.44562006	4.35612011	4.948209763	4.29941988	8.410920143	5.165860176	6.965680122	14.68039989	6.873419762	4.91685009	3.957870007	13.63230038	9.425049782	11.09529972	4.276380062	3.480390072	8.835709572	4.463880062	1.979079962	3.599159956	1.708410025	4.540569782	2.925400019	5.536170006	3.593430042	16.82550049	5.111750126	1.435799956	1.923110008	1.698619962	2.925790071	3.02560997	4.379809856	5.0103302	4.761459827	3.087529898	2.532670021	6.00221014	4.159319878	4.103690147
